latitude,longitude,name,station,elevation,id
21.2716,-157.8168,"WAIKIKI 717.2, HI US",USC00519397,3,1
21.4234,-157.8015,"KANEOHE 838.1, HI US",USC00513117,14.6,2
21.5213,-157.8374,"KUALOA RANCH HEADQUARTERS 886.9, HI US",USC00514830,7,3
21.3934,-157.9751,"PEARL CITY, HI US",USC00517948,11.9,4
21.4992,-158.0111,"UPPER WAHIAWA 874.3, HI US",USC00518838,306.6,5
21.33556,-157.71139,"WAIMANALO EXPERIMENTAL FARM, HI US",USC00519523,19.5,6
21.45167,-157.84889,"WAIHEE 837.5, HI US",USC00519281,32.9,7
21.3152,-157.9992,"HONOLULU OBSERVATORY 702.2, HI US",USC00511918,0.9,8
21.3331,-157.8025,"MANOA LYON ARBO 785.2, HI US",USC00516128,152.4,9
